"Site","Rep","Date","NH3_µgL","NO3_µgL","SRP_µgL","TN_µgL","TP_µgL"
NA,"BLANK","2024-06-10","< 1.5","< 1.5","< 0.8","< 25.0","< 1.5"
1,"a","2024-06-10","7.8","36.7","4.8","259","25.8"
1,"b","2024-06-10","7.7","36.7","6","259","25.8"
1,"c","2024-06-10","8.1","35","4.9","259","25.8"
2,"a","2024-06-10","6.3","4","12","525","49.7"
2,"b","2024-06-10","9.2","4.1","12.3","525","49.7"
2,"c","2024-06-10","4.2","4.5","14.1","525","49.7"
3,"a","2024-06-10","6.3","4.6","13.6","309","40.1"
3,"b","2024-06-10","6.1","4.1","12.8","309","40.1"
4,"a","2024-06-10","7.9","2.8","9.7","",""
4,"b","2024-06-10","5","2.4","13.2","",""
4,"c","2024-06-10","5.2","< 1.5","6.4","",""
NA,"BLANK","2024-06-27","2.4","< 1.5","< 0.8","< 25.0","< 1.5"
1,"a","2024-06-27","5","21.4","< 0.8","275","13.8"
1,"b","2024-06-27","4.8","30.3","1.8","275","13.8"
1,"c","2024-06-27","5.6","30.6","1.9","275","13.8"
2,"a","2024-06-27","2.7","1.9","7.4","313","24.8"
2,"b","2024-06-27","3.5","1.7","6.4","313","24.8"
2,"c","2024-06-27","3.5","2.5","7.8","313","24.8"
3,"a","2024-06-27","5.8","1.9","7.4","186","20"
3,"b","2024-06-27","6.3","3.6","7","186","20"
3,"c","2024-06-27","2.8","2.5","8","186","20"
4,"a","2024-06-27","3.5","1.5","6","",""
4,"b","2024-06-27","2","1.5","6","",""
4,"c","2024-06-27","4.1","2.2","5.7","",""
NA,"BLANK","2024-07-17","3.7","< 1.5","< 0.8","< 25.0","< 1.5"
1,"a","2024-07-17","7.5","65.9","1.7","273","10.4"
1,"b","2024-07-17","5.9","60.1","1.5","273","10.4"
1,"c","2024-07-17","7.4","63.3",NA,"273","10.4"
2,"a","2024-07-17","5.1","2.1","2.9","",""
2,"b","2024-07-17","4.8","< 1.5","4.3","",""
2,"c","2024-07-17","2.8","1.7","4","",""
3,"a","2024-07-17","3.7","< 1.5","1.9","207","10.5"
3,"b","2024-07-17","4.5","< 1.5","1.6","207","10.5"
3,"c","2024-07-17","6.6","1.7","1.3","207","10.5"
4,"a","2024-07-17","7.5","2.5","2.6","253","21.1"
4,"b","2024-07-17","10.4","7.2","1.2","253","21.1"
4,"c","2024-07-17","5.3","2.2","2.9","253","21.1"
NA,"BLANK","2024-07-31","2.6","< 1.5","< 0.8","< 25.0","< 1.5"
1,"a","2024-07-31","7.9","286","< 0.8","442","9.8"
1,"b","2024-07-31","6.3","248","1.4","442","9.8"
1,"c","2024-07-31","7.6","234","< 0.8","442","9.8"
2,"a","2024-07-31","4.1","1.7","3.8","221","16.2"
2,"b","2024-07-31","5.4","2.3","3.6","221","16.2"
2,"c","2024-07-31","5.2","< 1.5","3.5","221","16.2"
3,"a","2024-07-31","7.6","3.3","1.1","249","10.1"
3,"b","2024-07-31","5.4","3.4","1.3","249","10.1"
3,"c","2024-07-31","5.4","3.2","1.7","249","10.1"
NA,"BLANK","2024-08-13","3.7","< 1.5","< 0.8","< 25.0","< 1.5"
1,"a","2024-08-13","11.7","282","2.6","496","20.7"
1,"b","2024-08-13","12.5","242","1.1","496","20.7"
1,"c","2024-08-13","20.9","244","0.9","496","20.7"
2,"a","2024-08-13","12","17.7","4","298","28.9"
2,"b","2024-08-13","10.7","17.4","4.4","298","28.9"
2,"c","2024-08-13","9.3","17.5","5.4","298","28.9"
3,"a","2024-08-13","10.2","4.9","< 0.8","246","19.7"
3,"b","2024-08-13","5.9","4.4","4.4","246","19.7"
3,"c","2024-08-13","8.4","4.4","3.8","246","19.7"
4,"a","2024-08-13","2.5","0","2.4","207","17.7"
4,"b","2024-08-13","4.2","0","0.8","207","17.7"
4,"c","2024-08-13","3.5","0","1.8","207","17.7"
NA,"BLANK","2024-08-31","2.4","< 1.5","< 0.8","< 25.0","< 1.5"
1,"a","2024-08-31","5.9","208","3.3","437","13.6"
1,"b","2024-08-31","6.8","232","2.6","437","13.6"
1,"c","2024-08-31","4.7","224","2.3","437","13.6"
2,"a","2024-08-31","4.7","5.8","8.4","242","20"
2,"b","2024-08-31","7.2","5.8","4.8","242","20"
2,"c","2024-08-31","6.9","6.1","2.4","242","20"
3,"a","2024-08-31","6.5","2","0.9","206","16.4"
3,"b","2024-08-31","3.2","2.3","2.2","206","16.4"
3,"c","2024-08-31","5.1","2.9","1.5","206","16.4"
4,"a","2024-08-31","4.5","< 1.5","< 0.8","181","15"
4,"b","2024-08-31","5.7","2","0.9","181","15"
4,"c","2024-08-31","4.5","< 1.5","< 0.8","181","15"
NA,"BLANK","2024-09-13","< 1.5","2.6","< 0.8","",""
1,"a","2024-09-13","4.1","237","< 0.8","461","16.6"
1,"b","2024-09-13","3.8","238","< 0.8","461","16.6"
1,"c","2024-09-13","4.5","232","< 0.8","461","16.6"
2,"a","2024-09-13","7.5","181","3.5","407","27.4"
2,"b","2024-09-13","5.3","197","3.1","407","27.4"
2,"c","2024-09-13","5.2","180","4.4","407","27.4"
3,"a","2024-09-13","2.2","2.1","2.5","177","11.2"
3,"b","2024-09-13","1.8","2.1","2.5","177","11.2"
3,"c","2024-09-13","1.8","2","2.2","177","11.2"
4,"a","2024-09-13","4","3.7","3.9","230","24.5"
4,"b","2024-09-13","3.6","2.7","3.3","230","24.5"
4,"c","2024-09-13","3.2","1.7","2.2","230","24.5"
